geohash,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
xn771g,0,0,0,0,19,1,353,8,0,121,0,0,0,95,494,103,597,0,0,597,0
xn771h,0,0,0,0,19,18,205,0,0,40,0,0,0,36,236,82,316,2,0,316,2
xn771k,0,0,0,0,0,0,358,10,0,21,0,0,0,77,444,22,466,0,0,466,0
xn771n,0,0,0,0,1,1,144,26,0,42,0,0,0,124,238,100,327,11,0,338,0
xn771p,0,0,0,0,28,12,167,12,0,64,0,0,0,66,226,123,347,2,0,349,0
xn771r,0,0,0,0,0,0,351,36,0,4,0,0,0,213,528,76,604,0,0,604,0
xn771s,0,0,0,0,8,0,338,0,0,14,0,0,0,114,450,24,474,0,0,474,0
xn771t,0,0,0,0,48,0,433,0,0,0,0,0,0,126,584,23,603,4,0,607,0
xn771u,0,0,0,0,44,7,232,0,0,16,0,0,0,94,304,89,393,0,0,393,0
xn771v,0,0,0,0,8,1,323,0,0,0,0,0,0,118,392,58,442,8,0,450,0
