geohash_start,geohash_end,weight
dr5rs6,dr5rs7,4
dr5rs7,dr5rse,10
dr5rs7,dr5rsh,2
dr5rs7,dr5rsk,12
dr5rse,dr5rss,11
dr5rse,dr5rst,1
dr5rsf,dr5rsg,10
dr5rsf,dr5rt4,7
dr5rsg,dr5rss,4
dr5rsg,dr5rsu,11
dr5rsg,dr5rt4,1
dr5rsg,dr5rt5,15
dr5rsh,dr5rsj,15
dr5rsh,dr5rsk,9
dr5rsj,dr5rsm,7
dr5rsj,dr5rsn,13
dr5rsk,dr5rsm,17
dr5rsk,dr5rss,7
dr5rsm,dr5rsn,1
dr5rsm,dr5rsq,11
dr5rsm,dr5rss,2
dr5rsm,dr5rst,7
dr5rsn,dr5rsp,12
dr5rsn,dr5rsq,5
dr5rsp,dr5rsq,2
dr5rsp,dr5rsr,6
dr5rsp,dr5ru0,10
dr5rsp,dr5ru2,2
dr5rsq,dr5rsr,11
dr5rsq,dr5rsw,9
dr5rsr,dr5rsx,7
dr5rsr,dr5ru2,10
dr5rss,dr5rst,10
dr5rst,dr5rsw,12
dr5rsu,dr5rt5,1
dr5rsu,dr5rth,7
dr5rsw,dr5rsx,2
dr5rsw,dr5ru8,2
dr5rsx,dr5ru2,2
dr5rsx,dr5ru8,9
dr5rsy,dr5rtj,2
dr5rsy,dr5rtn,6
dr5rsy,dr5rtp,2
dr5rsz,dr5rtp,5
dr5rt3,dr5rt6,15
dr5rt3,dr5rt9,7
dr5rt3,dr5rtd,1
dr5rt4,dr5rt5,10
dr5rt4,dr5rt6,9
dr5rt5,dr5rt7,11
dr5rt5,dr5rth,16
dr5rt5,dr5rtk,2
dr5rt6,dr5rt7,10
dr5rt6,dr5rtd,8
dr5rt7,dr5rtk,10
dr5rt8,dr5rt9,12
dr5rt8,dr5rtb,10
dr5rt9,dr5rtc,8
dr5rt9,dr5rtd,9
dr5rt9,dr5rtf,1
dr5rtb,dr5rtc,15
dr5rtb,dr5rw1,1
dr5rtc,dr5rtf,13
dr5rtc,dr5rw1,10
dr5rtd,dr5rtf,10
dr5rtf,dr5rw1,2
dr5rth,dr5rtj,9
dr5rth,dr5rtk,9
dr5rtj,dr5rtm,8
dr5rtj,dr5rtn,15
dr5rtk,dr5rtm,19
dr5rtm,dr5rtn,1
dr5rtm,dr5rtq,11
dr5rtn,dr5rtp,10
dr5rtn,dr5rtq,8
dr5rtp,dr5rtr,2
dr5rtp,dr5rv0,11
dr5rtq,dr5rtr,5
dr5rtq,dr5rtw,4
dr5rtr,dr5rtw,2
dr5ru0,dr5ru1,7
dr5ru0,dr5ru2,7
dr5ru0,dr5ru3,1
dr5ru1,dr5ru3,8
dr5ru1,dr5ru4,6
dr5ru2,dr5ru3,13
dr5ru2,dr5ru8,8
dr5ru3,dr5ru4,1
dr5ru3,dr5ru6,11
dr5ru3,dr5ru8,1
dr5ru3,dr5ru9,9
dr5ru4,dr5ru5,11
dr5ru4,dr5ru6,6
dr5ru5,dr5ru6,1
dr5ru5,dr5ru7,8
dr5ru5,dr5ruh,10
dr5ru6,dr5ru7,7
dr5ru6,dr5ru9,1
dr5ru6,dr5rud,7
dr5ru7,dr5rud,2
dr5ru7,dr5rue,6
dr5ru7,dr5ruh,1
dr5ru7,dr5ruk,7
dr5ru8,dr5ru9,8
dr5ru8,dr5ruc,1
dr5ru9,dr5ruc,9
dr5ru9,dr5rud,12
dr5ru9,dr5ruf,3
dr5ru9,dr5rv0,4
dr5rub,dr5rv0,5
dr5rub,dr5rv1,2
